Pattern,Components,Score,PrimeProduct
42 + 3,quad=2;kicker=3,166,48
2x3 + 3x2,trips=2;pair=3,322,72
42 + 4,quad=2;kicker=4,165,80
3x3 + 2x2,trips=3;pair=2,310,108
42 + 5,quad=2;kicker=5,164,112
2x3 + 4 + 3,"trips=2;kickers=4,3",2467,120
43 + 2,quad=3;kicker=2,154,162
2x3 + 5 + 3,"trips=2;kickers=5,3",2466,168
42 + 6,quad=2;kicker=6,163,176
3x2 + 2x2 + 4,pair_high=3;pair_low=2;kicker=4,3325,180
2x3 + 4x2,trips=2;pair=4,321,200
42 + 7,quad=2;kicker=7,162,208
3x2 + 2x2 + 5,pair_high=3;pair_low=2;kicker=5,3324,252
2x3 + 6 + 3,"trips=2;kickers=6,3",2464,264
3x3 + 4 + 2,"trips=3;kickers=4,2",2401,270
42 + 8,quad=2;kicker=8,161,272
2x3 + 5 + 4,"trips=2;kickers=5,4",2465,280
4x2 + 2x2 + 3,pair_high=4;pair_low=2;kicker=3,3314,300
42 + 9,quad=2;kicker=9,160,304
2x3 + 7 + 3,"trips=2;kickers=7,3",2461,312
42 + T,quad=2;kicker=T,159,368
3x3 + 5 + 2,"trips=3;kickers=5,2",2400,378
2x3 + 5x2,trips=2;pair=5,320,392
3x2 + 2x2 + 6,pair_high=3;pair_low=2;kicker=6,3323,396
43 + 4,quad=3;kicker=4,153,405
2x3 + 8 + 3,"trips=2;kickers=8,3",2457,408
2x2 + 5 + 4 + 3,"pair=2;kickers=5,4,3",6185,420
2x3 + 6 + 4,"trips=2;kickers=6,4",2463,440
4x2 + 3x2 + 2,pair_high=4;pair_low=3;kicker=2,3303,450
2x3 + 9 + 3,"trips=2;kickers=9,3",2452,456
42 + J,quad=2;kicker=J,158,464
3x2 + 2x2 + 7,pair_high=3;pair_low=2;kicker=7,3322,468
42 + Q,quad=2;kicker=Q,157,496
4x3 + 2x2,trips=4;pair=2,298,500
2x3 + 7 + 4,"trips=2;kickers=7,4",2460,520
2x3 + T + 3,"trips=2;kickers=T,3",2446,552
43 + 5,quad=3;kicker=5,152,567
5x2 + 2x2 + 3,pair_high=5;pair_low=2;kicker=3,3292,588
42 + K,quad=2;kicker=K,156,592
3x3 + 6 + 2,"trips=3;kickers=6,2",2398,594
3x2 + 2x2 + 8,pair_high=3;pair_low=2;kicker=8,3321,612
2x3 + 6 + 5,"trips=2;kickers=6,5",2462,616
3x2 + 5 + 4 + 2,"pair=3;kickers=5,4,2",5965,630
42 + A,quad=2;kicker=A,155,656
2x2 + 6 + 4 + 3,"pair=2;kickers=6,4,3",6184,660
3x3 + 4x2,trips=3;pair=4,309,675
2x3 + 8 + 4,"trips=2;kickers=8,4",2456,680
3x2 + 2x2 + 9,pair_high=3;pair_low=2;kicker=9,3320,684
2x3 + J + 3,"trips=2;kickers=J,3",2439,696
4x2 + 2x2 + 5,pair_high=4;pair_low=2;kicker=5,3313,700
3x3 + 7 + 2,"trips=3;kickers=7,2",2395,702
2x3 + 7 + 5,"trips=2;kickers=7,5",2459,728
2x3 + Q + 3,"trips=2;kickers=Q,3",2431,744
4x3 + 3 + 2,"trips=4;kickers=3,2",2335,750
2x3 + 9 + 4,"trips=2;kickers=9,4",2451,760
2x2 + 7 + 4 + 3,"pair=2;kickers=7,4,3",6181,780
3x2 + 2x2 + T,pair_high=3;pair_low=2;kicker=T,3319,828
5x2 + 3x2 + 2,pair_high=5;pair_low=3;kicker=2,3281,882
2x3 + K + 3,"trips=2;kickers=K,3",2422,888
43 + 6,quad=3;kicker=6,151,891
3x3 + 8 + 2,"trips=3;kickers=8,2",2391,918
2x3 + T + 4,"trips=2;kickers=T,4",2445,920
2x2 + 6 + 5 + 3,"pair=2;kickers=6,5,3",6183,924
3x3 + 5 + 4,"trips=3;kickers=5,4",2399,945
2x3 + 8 + 5,"trips=2;kickers=8,5",2455,952
2x3 + 6x2,trips=2;pair=6,319,968
5x2 + 2x2 + 4,pair_high=5;pair_low=2;kicker=4,3291,980
2x3 + A + 3,"trips=2;kickers=A,3",2412,984
3x2 + 6 + 4 + 2,"pair=3;kickers=6,4,2",5964,990
2x2 + 8 + 4 + 3,"pair=2;kickers=8,4,3",6175,1020
3x3 + 9 + 2,"trips=3;kickers=9,2",2386,1026
3x2 + 2x2 + J,pair_high=3;pair_low=2;kicker=J,3318,1044
4x2 + 5 + 3 + 2,"pair=4;kickers=5,3,2",5745,1050
43 + 7,quad=3;kicker=7,150,1053
2x3 + 9 + 5,"trips=2;kickers=9,5",2450,1064
2x2 + 7 + 5 + 3,"pair=2;kickers=7,5,3",6180,1092
4x2 + 2x2 + 6,pair_high=4;pair_low=2;kicker=6,3312,1100
3x2 + 2x2 + Q,pair_high=3;pair_low=2;kicker=Q,3317,1116
4x3 + 3x2,trips=4;pair=3,297,1125
2x2 + 9 + 4 + 3,"pair=2;kickers=9,4,3",6165,1140
2x3 + 7 + 6,"trips=2;kickers=7,6",2458,1144
2x3 + J + 4,"trips=2;kickers=J,4",2438,1160
3x2 + 7 + 4 + 2,"pair=3;kickers=7,4,2",5961,1170
2x3 + Q + 4,"trips=2;kickers=Q,4",2430,1240
3x3 + T + 2,"trips=3;kickers=T,2",2380,1242
44 + 2,quad=4;kicker=2,142,1250
2x3 + T + 5,"trips=2;kickers=T,5",2444,1288
4x2 + 2x2 + 7,pair_high=4;pair_low=2;kicker=7,3311,1300
3x3 + 5x2,trips=3;pair=5,308,1323
3x2 + 2x2 + K,pair_high=3;pair_low=2;kicker=K,3316,1332
2x3 + 7x2,trips=2;pair=7,318,1352
5x3 + 2x2,trips=5;pair=2,286,1372
43 + 8,quad=3;kicker=8,149,1377
2x2 + T + 4 + 3,"pair=2;kickers=T,4,3",6150,1380
